FULL QUESTION,LIST ENTITIES,TYPE,#REF!
what music would you like to listen to pop rock alternative or hip hop,"pop,rock,alternative,hip hop",object/entity,
what do you want to do now eat sleep or walk,"eat,sleep,walk",activities,
how many hours did you sleep three four or five,"three,four,five",numbers,
what do you want to drink water diet coke or fruit juice,"water,diet coke,fruit juice",object/entity,
who is your favorite artist,"billie elish,lana del rey,taylor swift",people,
what kind of car do you like bmw ford or rolls royce,"bmw,ford,rolls royce",organization,
what is your favorite color blue green yellow or all,"blue,green,yellow,all",description,
what do you like visiting most the mountains the sea or the city,"mountains,sea,city",location,
what do you want to do saturday afternoon go to the zoo visit your parents or go to the mall,"go to zoo,visit your parents,go to mall",location,*
,"king soopers,safeway,whole foods",organization,
which dog won that competition the great dane the poodle or the retriever,"great dane,poodle. retriever",object/entity,
how do you want to video chat zoom facebook or skype,"zoom,facebook,skype",organization,
which team won in swimming the us china or argentina,"us,china. argentina",location,*
what was the outcome of that case guilty innocent or hung jury,"guilty,innocent,hung jury",description,
which meal do you want to have out saturday breakfast lunch or dinner,"breakfast,lunch,dinner",activities,
which color sweater do you want to buy blue green or black,"blue,green,black",description,
is your favorite season winter spring summer or fall,"winter,spring,summer,fall",date/time,
do you want to adopt a house cat hound dog or a fish,"house cat,hound dog,fish",object/entity,
do you like tacos burritos or tostadas the most,"tacos,burritos,tostadas",object/entity,
do you speak english french or spanish,"english,french,spanish",object/entity,
do you drink soy milk almond milk or dairy milk,"soy milk,almond milk,dairy milk",object/entity,
is football basketball or baseball your favorite sport,"football,basketball,baseball",activities,
does your desk have a pencil holder stapler or hole punch,"pencil holder,stapler,hole punch",object/entity,
are your eyes blue green or brown,"blue,green,brown",description,
do you want bagels muffins or toast for breakfast,"bagels,muffins,toast",object/entity,
do you like the brown blue or black shoes better,"brown,blue,black",description,
should we go to italy france or greece,"italy,france,greece",location,
do you want to meet for coffe dinner or drinks,"coffee,dinner,drinks",object/entity,
should we go see a romance comedy or horror movie tonight,"romance,comedy,horror",description,
when our plane lands should we take a bus train or cab home,"bus,train,cab",object/entity,
when i get to your house should i knock at the back side or front door,"back,side,front",description,
would you prefer cookies cake or ice cream for dessert,"cookies,cake,ice cream",object/entity,
would you rather have a sandwich soup or salad for lunch,"sandwich,soup,salad",object/entity,
do you want to go on vacation to denver san diego or orlando,"denver,san diego,orlando",location,
is your preference to ski at keystone breckenridge or vail,"keystone,breckenridge,vail",location,
do you want to listen to music by maroon 5 bon jovi or justin timberlake,"maroon 5,bon jovi,justin timberlake",organization,
would you rather have your shrimp baked fried or grilled,"baked shrimp,fried shrimp,grilled shrimp",description,*
do you want to eat a chocolate chip cookie peanut butter cookie or white macadamia nut cookie,"chocolate chip cookie,peanut butter cookie,white macadamia nut cookie",object/entity,
for our upcoming trip would you rather travel by car airplane or train,"car,airplane,train",object/entity,
would you like to visit europe asia or south america,"europe,asia,south america",location,
what would you like to drink coffee tea or water,"coffee,tea,water",object/entity,
where do you want to go on vacation paris rome or london,"paris,rome,london",location,
what is your favorite video game super mario brothers minecraft or diablo,"super mario brothers,minecraft,diablo",misc,
what class do you want to take in school chemistry physics or geography,"chemistry,physics,geography",object/entity,
what color should we paint the room red blue or white,"red,blue,white",description,
how would you like to get to the city by plane train or car,"plane,train,car",object/entiy,
what flavor ice cream do you want chocolate vanilla or strawberry,"chocolate,vanilla,strawberry",description,
what would you like on your hot dog ketchup mustard or onions,"ketchup,mustard,onions",object/entity,
where would you like to work out today the gym home or the park,"gym,home,park",location,
what would you like for breakfast today eggs pancakes or burritos,"eggs,pancakes,burritos",object/entity,
what would you like to drink coke coffee or water,"coke,coffee,water",object/entity,
what kind of movie would you like to watch action comedy or family,"action,comedy,family",description,
what activity would you like to do today roller skating going to the movies or walking in the park,"roller skating,going to movies,walking in park",activities,
when would you like to start your new diet today next week or next month,"today,next week,next month",date/time,
where would you like to go on vacation hawaii new york or california,"hawaii,new york,california",location,
what kind of phone would you like to buy apple samsung or huaweihat kind of phone would you like to buy apple samsung or,"apple,samsung,huawei",organization,
who would you rather meet oprah obama or trump,"oprah,obama,trump",people,
where would you like to go italy spain or japan,"italy,spain,japan",location,
which would you rather win a home a car or a vacation,"home,car,vacation",object/entity,
what would you like for breakfast eggs bread and butter or coffee,"eggs,bread and butter,coffee",object/entity,*
how do you like your eggs scrambled hard boiled or fried,"scrambled,hard boiled,fried",object/entity,
which is your favorite season summer winter spring or fall,"summer,winter,spring,fall",date/time,
where would you rather go on vacation a beach the mountains or a lake,"beach,mountains,lake",location,
if you could buy a property what would you purchase a home a town house or an apartment,"home,town house,apartment",location,
where would you like to go the mall the park or the movies,"mall,park,movies",location,
do you want to go to the gym the club or stay at home,"gym,club,home.",location,*
do you want to eat rice beans or potatoes,"rice,beans potatoes",object/entity,
what sides would you like mashed potato brussels sprout or mac & cheeses,"mashed potato,brussels sprout,mac & cheese",object/entity,*
do you wanna visit new york la or chicago,"new york,la,chicago",location,
do you want to watch football basketball or baseball.,"football,basketball baseball.",activities,
do you want to fly drive or sail,"fly,drive,sail",activities,
do you want fries baked beans or dinner rolls,"fries,baked beans,dinner rolls",object/entity,
