what music would you like to listen to pop rock alternative or hip hop,"pop,rock,alternative,hip hop",object/entity
what do you want to do now eat sleep or walk,"eat,sleep,walk",activities
how many hours did you sleep three four or five,"three,four,five",numbers
what do you want to drink water diet coke or fruit juice,"water,diet coke,fruit juice",object/entity
who is your favorite artist billie elish lana del rey or taylor swift,"billie elish,lana del rey,taylor swift",people
what kind of car do you like bmw ford or rolls royce,"bmw,ford,rolls royce",organization
what is your favorite color blue green yellow or all,"blue,green,yellow,all",description
what do you like visiting most the mountains the sea or the city,"mountains,sea,city",location
what do you want to do saturday afternoon go to the zoo visit your parents or go to the mall,"go to zoo,visit your parents,go to mall",location
which grocery store are you going to king soopers safeway or whole foods,"king soopers,safeway,whole foods",organization
which dog won that competition the great dane the poodle or the retriever,"great dane,poodle,retriever",object/entity
how do you want to video chat zoom facebook or skype,"zoom,facebook,skype",organization
which team won in swimming the us china or argentina,"us,china,argentina",location
what was the outcome of that case guilty innocent or hung jury,"guilty,innocent,hung jury",description
which meal do you want to have out saturday breakfast lunch or dinner,"breakfast,lunch,dinner",activities
which color sweater do you want to buy blue green or black,"blue,green,black",description
is your favorite season winter spring summer or fall,"winter,spring,summer,fall",date/time
do you want to adopt a house cat hound dog or a fish,"house cat,hound dog,fish",object/entity
do you like tacos burritos or tostadas the most,"tacos,burritos,tostadas",object/entity
do you speak english french or spanish,"english,french,spanish",object/entity
do you drink soy milk almond milk or dairy milk,"soy milk,almond milk,dairy milk",object/entity
is football basketball or baseball your favorite sport,"football,basketball,baseball",activities
does your desk have a pencil holder stapler or hole punch,"pencil holder,stapler,hole punch",object/entity
are your eyes blue green or brown,"blue,green,brown",description
do you want bagels muffins or toast for breakfast,"bagels,muffins,toast",object/entity
do you like the brown blue or black shoes better,"brown,blue,black",description
should we go to italy france or greece,"italy,france,greece",location
do you want to meet for coffee dinner or drinks,"coffee,dinner,drinks",object/entity
should we go see a romance comedy or horror movie tonight,"romance,comedy,horror",description
when our plane lands should we take a bus train or cab home,"bus,train,cab",object/entity
when i get to your house should i knock at the back side or front door,"back,side,front",description
would you prefer cookies cake or ice cream for dessert,"cookies,cake,ice cream",object/entity
would you rather have a sandwich soup or salad for lunch,"sandwich,soup,salad",object/entity
do you want to go on vacation to denver san diego or orlando,"denver,san diego,orlando",location
is your preference to ski at keystone breckenridge or vail,"keystone,breckenridge,vail",location
do you want to listen to music by maroon 5 bon jovi or justin timberlake,"maroon 5,bon jovi,justin timberlake",organization
would you rather have your shrimp baked fried or grilled,"baked,fried,grilled",description
do you want to eat a chocolate chip cookie peanut butter cookie or white macadamia nut cookie,"chocolate chip cookie,peanut butter cookie,white macadamia nut cookie",object/entity
for our upcoming trip would you rather travel by car airplane or train,"car,airplane,train",object/entity
would you like to visit europe asia or south america,"europe,asia,south america",location
what would you like to drink coffee tea or water,"coffee,tea,water",object/entity
where do you want to go on vacation paris rome or london,"paris,rome,london",location
what is your favorite video game super mario brothers minecraft or diablo,"super mario brothers,minecraft,diablo",misc
